Route_ID,Origin,Destination,Distance_km,Traffic_Level,Fuel_Consumption_L,Transportation_Cost,Delivery_Time_Min,On_Time_Delivery,Vehicle_Type,Weather_Condition,Road_Condition,Real_Time_Adjustment
R25,Warehouse_D,City_Z,465.43,Medium,11.79,2677.5,311.98,Yes,EV,Snowy,Good,Yes
R26,Warehouse_B,City_X,266.16,Low,88.36,1957.85,436.07,Yes,EV,Clear,Average,Yes
R27,Warehouse_B,City_X,133.16,High,31.81,787.99,461.84,Yes,Truck,Snowy,Good,No
R28,Warehouse_B,City_Z,31.15,High,66.13,159.59,913.24,Yes,Van,Clear,Average,No
R29,Warehouse_D,City_Y,364.41,Medium,49.78,1133.23,130.35,Yes,Bike,Snowy,Good,No
R30,Warehouse_D,City_X,65.04,Medium,37.9,581.98,301.34,Yes,Truck,Rainy,Good,No
R31,Warehouse_A,City_Z,154.87,Low,65.25,3937.95,551.44,Yes,EV,Clear,Average,No
R32,Warehouse_A,City_Z,268.57,High,94.86,606.86,707.34,Yes,Van,Snowy,Average,Yes
R33,Warehouse_D,City_W,284.39,High,6.04,3634.93,641.72,No,Van,Clear,Average,Yes
R34,Warehouse_B,City_Y,302.29,High,92.05,1959.01,943.39,Yes,Van,Snowy,Poor,Yes
R35,Warehouse_B,City_W,87.3,Medium,61.69,413.22,801.74,No,Van,Clear,Average,Yes
R36,Warehouse_A,City_Y,192.97,Low,81.12,4073.01,570.36,Yes,EV,Rainy,Average,Yes
R37,Warehouse_D,City_X,310.51,High,39.62,2919.17,238.24,No,Bike,Clear,Average,No
R38,Warehouse_A,City_Y,485.06,Low,48.24,1217.02,467.35,Yes,EV,Clear,Poor,Yes
R39,Warehouse_A,City_Z,365.18,Medium,87.15,4478.67,702.58,Yes,Van,Rainy,Average,No
R40,Warehouse_C,City_Z,461.69,Low,42.66,274.03,842.82,Yes,EV,Snowy,Good,Yes
R41,Warehouse_C,City_Y,382.29,High,54.4,1049.01,960.94,Yes,Van,Foggy,Good,Yes
R42,Warehouse_C,City_Y,297.9,Low,3.98,3772.63,617.29,Yes,EV,Rainy,Poor,Yes
R43,Warehouse_B,City_Y,100.05,Low,17.54,3561.42,541.11,Yes,Bike,Clear,Poor,Yes
R44,Warehouse_D,City_W,335.01,Medium,64.89,1481.89,47.16,Yes,Van,Rainy,Poor,Yes
R45,Warehouse_D,City_Y,313.57,Medium,72.26,357.02,99.94,Yes,EV,Rainy,Poor,Yes
R46,Warehouse_D,City_X,303.22,Medium,59.09,4297.49,181.42,Yes,Truck,Clear,Poor,Yes
R47,Warehouse_D,City_W,247.44,Low,16.04,1602.8,83.12,Yes,Bike,Clear,Average,Yes
R48,Warehouse_C,City_W,266.69,Low,45.65,1018.78,418.84,Yes,Truck,Foggy,Good,No
R49,Warehouse_B,City_Y,170.55,Medium,36.8,2604.51,356.77,Yes,EV,Rainy,Good,Yes
R50,Warehouse_B,City_X,262.06,High,50.57,4555.62,648.23,No,Bike,Clear,Average,No
R51,Warehouse_C,City_W,102.79,High,87.29,265.56,549.6,Yes,Bike,Snowy,Poor,Yes
R52,Warehouse_B,City_Z,403.56,Medium,78.03,3840.73,608.09,No,Bike,Snowy,Average,Yes
R53,Warehouse_C,City_W,96.96,High,10.23,2883.74,487.82,Yes,EV,Snowy,Poor,No
R54,Warehouse_D,City_Y,47.06,Medium,89.25,2155.97,299.41,No,Bike,Snowy,Good,No
R55,Warehouse_C,City_X,220.94,Medium,48.23,3733.2,954.24,Yes,Bike,Rainy,Good,No
R56,Warehouse_D,City_Y,330.86,Medium,74.9,4830.83,113.82,Yes,Truck,Rainy,Poor,Yes
R57,Warehouse_D,City_Z,221.67,Medium,15.72,1184.57,940.72,No,EV,Foggy,Average,Yes
R58,Warehouse_A,City_Z,141.99,Medium,67.73,761.05,331.9,Yes,Van,Rainy,Poor,No
R59,Warehouse_C,City_Z,281.29,Medium,25.16,4568.76,527.28,Yes,EV,Clear,Poor,Yes
R60,Warehouse_A,City_Y,176.77,Low,44.96,3361.32,135.58,No,EV,Foggy,Good,No
R61,Warehouse_C,City_W,466.77,Low,3.65,2218.03,98.8,Yes,Bike,Rainy,Poor,Yes
R62,Warehouse_C,City_Y,461.71,Low,16.86,2887.63,446.66,Yes,Truck,Rainy,Average,Yes
R63,Warehouse_A,City_X,253.67,Medium,11.02,3740.79,749.45,Yes,Truck,Clear,Poor,Yes
R64,Warehouse_A,City_W,167.3,Low,25.49,3876.51,291.28,Yes,EV,Clear,Good,No
R65,Warehouse_C,City_Z,369.88,Low,11.8,4603.48,575.48,No,Van,Clear,Average,Yes
R66,Warehouse_B,City_Y,23.17,Medium,69.81,2162.87,300.29,Yes,EV,Snowy,Average,No
R67,Warehouse_D,City_Z,240.01,Medium,4.85,1502.38,406.95,Yes,Van,Rainy,Good,Yes
R68,Warehouse_A,City_Z,171.48,Medium,62.54,3216.34,909.25,Yes,Van,Rainy,Good,No
R69,Warehouse_D,City_X,460.67,Medium,15.79,2107.85,860.16,Yes,EV,Rainy,Poor,Yes
R70,Warehouse_B,City_W,10.94,High,94.63,2993.26,530.54,No,Bike,Foggy,Good,No
R71,Warehouse_B,City_X,278.64,High,93.44,2128.93,260.96,Yes,Bike,Foggy,Good,Yes
R72,Warehouse_B,City_X,371.63,High,24.1,807.33,217.39,Yes,Van,Foggy,Good,No
R73,Warehouse_A,City_X,245.08,Medium,62.21,2373.66,955.46,Yes,Truck,Foggy,Good,Yes
R74,Warehouse_B,City_Z,47.27,Low,4.74,3470.04,226.64,No,Bike,Foggy,Average,Yes
R75,Warehouse_A,City_X,486.37,High,93.32,4006.45,813.92,Yes,Bike,Clear,Average,Yes
R76,Warehouse_B,City_X,261.42,Low,53.25,2491.97,387.9,Yes,Van,Foggy,Average,No
R77,Warehouse_D,City_W,309.02,Low,6.24,867.93,986.09,Yes,Van,Rainy,Good,Yes
R78,Warehouse_D,City_W,122.12,Medium,35.56,2102.7,387.11,Yes,Van,Snowy,Poor,Yes
R79,Warehouse_C,City_X,244.33,Low,9.53,3942.15,370.97,Yes,Bike,Rainy,Poor,Yes
R80,Warehouse_D,City_W,217.43,High,40.51,2093.65,648.34,Yes,Bike,Rainy,Poor,Yes
R81,Warehouse_C,City_W,42.07,Medium,67.65,3497.83,962.67,No,Truck,Clear,Poor,No
R82,Warehouse_D,City_X,57.55,Medium,48.05,2560.71,976.92,No,Truck,Snowy,Average,Yes
R83,Warehouse_A,City_Z,419.55,Medium,39.6,1244.05,715.99,Yes,EV,Rainy,Poor,Yes
R84,Warehouse_D,City_X,123.71,Medium,13.68,3990.95,761.97,Yes,Van,Clear,Average,Yes
R85,Warehouse_C,City_W,101.5,Low,26.0,466.86,576.5,Yes,Bike,Snowy,Poor,Yes
R86,Warehouse_C,City_Z,254.93,Medium,11.81,2648.21,763.1,Yes,Truck,Snowy,Poor,Yes
R87,Warehouse_B,City_Y,385.53,Medium,81.13,1084.01,863.99,Yes,Van,Clear,Average,Yes
R88,Warehouse_A,City_Z,35.66,Medium,15.25,381.97,501.51,Yes,Van,Foggy,Average,Yes
R89,Warehouse_D,City_W,290.52,Medium,60.35,2539.52,631.27,No,EV,Clear,Poor,Yes
R90,Warehouse_B,City_Z,64.01,Low,35.59,2522.83,551.2,Yes,Van,Clear,Good,No
R91,Warehouse_D,City_X,23.05,Low,24.15,3549.16,575.6,Yes,Truck,Foggy,Poor,Yes
R92,Warehouse_D,City_Y,31.11,Low,64.67,3736.52,893.35,Yes,EV,Clear,Poor,No
R93,Warehouse_B,City_Y,417.91,Low,46.79,3652.57,374.95,Yes,Bike,Clear,Poor,Yes
R94,Warehouse_B,City_Y,63.4,High,41.21,2077.32,231.94,Yes,EV,Clear,Average,No
R95,Warehouse_B,City_W,27.35,High,60.1,3176.86,472.59,No,Van,Rainy,Poor,Yes
R96,Warehouse_B,City_W,221.76,Low,50.14,2905.88,231.84,No,Van,Clear,Good,Yes
R97,Warehouse_B,City_Y,422.78,Medium,31.74,2136.73,513.45,Yes,Truck,Clear,Poor,No
R98,Warehouse_D,City_Z,134.89,Medium,56.79,3006.2,906.4,Yes,Van,Snowy,Good,No
R99,Warehouse_B,City_Y,213.75,Low,67.61,4738.88,628.91,No,Bike,Snowy,Good,Yes
R100,Warehouse_A,City_Z,24.76,Low,4.62,1004.82,859.77,Yes,Truck,Snowy,Good,Yes
R101,Warehouse_C,City_Z,227.29,High,47.66,4533.57,191.21,Yes,Van,Clear,Poor,Yes
R102,Warehouse_B,City_W,290.92,Medium,7.65,314.6,903.85,Yes,Bike,Foggy,Average,No
R103,Warehouse_B,City_Z,287.6,High,20.27,1576.53,613.73,Yes,Truck,Clear,Average,No
R104,Warehouse_D,City_Y,169.55,Low,56.93,1476.32,60.81,Yes,Van,Rainy,Poor,Yes
R105,Warehouse_B,City_W,161.19,Medium,86.89,3150.51,644.13,Yes,Bike,Rainy,Poor,No
R106,Warehouse_B,City_X,57.78,Low,88.51,699.56,952.86,Yes,Bike,Rainy,Good,Yes
R107,Warehouse_B,City_X,186.57,Low,8.85,4417.62,106.79,Yes,EV,Rainy,Poor,No
R108,Warehouse_D,City_W,54.25,Medium,43.07,4151.33,594.98,Yes,Truck,Clear,Average,Yes
R109,Warehouse_B,City_Y,384.46,Low,59.13,3277.73,918.01,Yes,EV,Snowy,Poor,Yes
R110,Warehouse_C,City_X,483.31,Low,16.41,2319.15,39.4,Yes,Bike,Clear,Poor,Yes
R111,Warehouse_D,City_X,485.19,Low,77.01,4668.13,641.99,Yes,EV,Clear,Poor,No
R112,Warehouse_C,City_Z,433.21,Low,74.94,4162.2,490.66,Yes,EV,Clear,Good,No
R113,Warehouse_D,City_Z,302.39,Medium,90.53,2521.61,366.58,Yes,EV,Clear,Poor,No
R114,Warehouse_B,City_Y,351.93,Medium,2.83,3524.27,638.71,Yes,Truck,Foggy,Poor,Yes
R115,Warehouse_C,City_W,146.18,Low,23.24,2856.3,81.12,Yes,Van,Snowy,Poor,Yes
R116,Warehouse_D,City_Y,317.23,Low,83.06,2960.31,760.47,Yes,EV,Snowy,Average,Yes
R117,Warehouse_A,City_W,230.55,Low,67.72,1688.33,34.35,Yes,Van,Rainy,Good,No
R118,Warehouse_B,City_X,243.6,Medium,89.65,2337.32,327.73,Yes,Truck,Clear,Good,No
R119,Warehouse_D,City_Z,380.1,Low,7.6,436.7,518.84,Yes,Van,Rainy,Average,Yes
R120,Warehouse_A,City_Y,144.55,Medium,60.5,1818.88,395.71,Yes,Truck,Snowy,Good,No
R121,Warehouse_D,City_Y,162.43,Low,57.77,3494.35,328.25,Yes,Van,Snowy,Average,No
R122,Warehouse_A,City_W,462.7,Low,5.5,4768.42,835.91,Yes,Truck,Rainy,Good,Yes
R123,Warehouse_B,City_W,32.83,High,52.33,4817.17,936.79,Yes,Bike,Snowy,Good,Yes
R124,Warehouse_C,City_Y,245.39,Medium,61.73,2800.83,877.5,Yes,Truck,Snowy,Good,Yes
R125,Warehouse_A,City_W,456.84,Low,20.75,3052.78,536.76,No,Van,Foggy,Poor,No
R126,Warehouse_D,City_Y,307.13,High,28.79,969.32,887.64,No,EV,Clear,Good,No
R127,Warehouse_B,City_Y,275.47,Medium,64.75,3491.78,923.24,Yes,Bike,Clear,Poor,No
R128,Warehouse_A,City_Y,128.62,High,47.89,399.76,426.96,Yes,EV,Snowy,Poor,No
R129,Warehouse_D,City_X,174.92,Medium,86.09,1459.19,304.94,No,Van,Snowy,Poor,Yes
R130,Warehouse_D,City_W,426.76,Medium,35.55,3358.4,125.32,Yes,EV,Foggy,Average,No
R131,Warehouse_D,City_Z,281.81,High,28.13,1586.04,494.72,Yes,EV,Rainy,Good,No
R132,Warehouse_A,City_Z,259.8,Low,98.52,296.74,947.91,Yes,Truck,Foggy,Good,No
R133,Warehouse_A,City_W,54.29,Medium,91.29,4167.76,574.08,No,Van,Foggy,Good,Yes
R134,Warehouse_A,City_Y,12.93,Medium,4.84,1586.13,677.54,Yes,EV,Rainy,Poor,No
R135,Warehouse_C,City_Z,482.02,Low,77.53,362.37,139.5,No,EV,Snowy,Good,No
R136,Warehouse_A,City_Z,191.61,Low,12.81,420.2,169.21,Yes,EV,Clear,Poor,No
R137,Warehouse_A,City_W,303.59,Low,4.69,1296.21,480.54,No,Van,Foggy,Poor,No
R138,Warehouse_A,City_Z,44.46,Medium,28.82,931.18,952.73,No,Bike,Foggy,Poor,Yes
R139,Warehouse_C,City_Y,343.14,Medium,28.4,3882.79,379.96,No,EV,Clear,Poor,No
R140,Warehouse_A,City_W,466.62,Medium,82.29,1642.34,881.16,Yes,EV,Foggy,Good,Yes
R141,Warehouse_D,City_Y,289.95,Low,71.65,4033.24,146.68,No,Bike,Rainy,Poor,Yes
R142,Warehouse_A,City_Z,67.43,Medium,98.2,910.54,628.51,No,Bike,Clear,Average,No
R143,Warehouse_D,City_Z,292.95,High,71.73,2489.75,612.59,Yes,Bike,Clear,Average,Yes
R144,Warehouse_D,City_Y,384.34,Low,42.99,3455.78,864.08,Yes,EV,Rainy,Average,Yes
R145,Warehouse_D,City_X,206.18,Medium,70.49,3277.35,33.22,Yes,Truck,Rainy,Poor,No
R146,Warehouse_C,City_Z,440.52,Medium,99.95,3025.59,214.23,Yes,Van,Clear,Good,Yes
R147,Warehouse_C,City_X,326.1,Medium,71.59,4627.87,243.1,Yes,EV,Rainy,Good,No
R148,Warehouse_C,City_Z,450.13,Medium,76.64,1181.2,951.47,Yes,Bike,Foggy,Poor,Yes
R149,Warehouse_A,City_X,313.64,High,93.96,2493.91,179.08,Yes,Bike,Snowy,Poor,Yes
R150,Warehouse_D,City_X,69.99,Low,13.14,4425.76,65.85,Yes,Bike,Foggy,Poor,Yes
R151,Warehouse_C,City_X,158.3,High,71.07,435.57,548.43,Yes,Bike,Rainy,Average,No
R152,Warehouse_C,City_Y,104.89,Low,85.38,326.65,542.7,Yes,Truck,Foggy,Poor,Yes
R153,Warehouse_A,City_X,454.87,Low,95.53,1204.85,848.73,No,Van,Snowy,Poor,No
R154,Warehouse_C,City_X,381.4,Low,22.67,3183.46,950.39,Yes,Truck,Snowy,Good,No
R155,Warehouse_A,City_X,339.82,Medium,51.39,1336.4,552.39,No,Truck,Snowy,Good,No
R156,Warehouse_B,City_Z,153.98,Medium,68.69,991.69,932.09,Yes,Van,Rainy,Average,Yes
R157,Warehouse_C,City_X,96.1,Low,26.25,2321.07,733.4,Yes,EV,Rainy,Average,Yes
R158,Warehouse_B,City_Z,379.44,Low,60.85,3087.31,286.62,Yes,EV,Rainy,Average,No
R159,Warehouse_A,City_X,239.71,High,27.24,1280.36,930.57,Yes,Truck,Snowy,Average,Yes
R160,Warehouse_D,City_X,116.77,High,34.68,1538.42,677.42,Yes,Van,Rainy,Poor,Yes
R161,Warehouse_C,City_Y,310.23,Medium,45.27,3087.12,431.67,Yes,Bike,Clear,Poor,Yes
R162,Warehouse_A,City_Z,24.97,Medium,53.86,4731.41,689.83,Yes,Van,Foggy,Average,No
R163,Warehouse_D,City_X,166.45,Medium,46.04,3389.97,419.27,No,EV,Foggy,Average,Yes
R164,Warehouse_D,City_Z,236.94,Low,50.33,3925.38,140.76,Yes,Truck,Clear,Good,Yes
R165,Warehouse_B,City_Z,78.24,High,31.26,1865.71,727.41,Yes,Bike,Rainy,Good,No
R166,Warehouse_A,City_W,492.4,Low,17.58,1397.66,829.36,No,EV,Foggy,Good,No
R167,Warehouse_D,City_Y,108.5,Medium,6.64,2298.63,736.94,No,Bike,Snowy,Average,Yes
R168,Warehouse_C,City_Y,69.52,Low,21.21,4045.31,252.24,No,Van,Foggy,Good,Yes
R169,Warehouse_C,City_Y,105.75,Medium,59.03,2308.68,957.94,No,Van,Foggy,Average,Yes
R170,Warehouse_B,City_W,385.69,Medium,79.04,4241.29,54.5,Yes,EV,Foggy,Poor,Yes
R171,Warehouse_D,City_W,215.63,Medium,18.59,4944.42,352.7,No,EV,Rainy,Average,Yes
R172,Warehouse_A,City_Y,284.88,Low,12.64,406.53,282.29,No,Bike,Clear,Poor,Yes
R173,Warehouse_C,City_W,15.4,Medium,75.43,274.78,76.68,Yes,Bike,Foggy,Poor,Yes
R174,Warehouse_D,City_W,22.04,Low,31.91,790.47,423.56,Yes,Van,Snowy,Average,Yes
R175,Warehouse_D,City_W,225.68,Low,95.25,1952.63,634.42,Yes,Truck,Foggy,Good,Yes
R176,Warehouse_B,City_Y,409.24,Low,72.0,698.66,886.08,Yes,Bike,Rainy,Average,No
R177,Warehouse_C,City_Y,443.19,Medium,34.02,4359.79,990.0,Yes,Van,Rainy,Good,Yes
R178,Warehouse_C,City_Y,47.92,Medium,30.38,164.57,813.85,Yes,Truck,Snowy,Poor,Yes
R179,Warehouse_A,City_W,271.49,Medium,53.32,1613.17,484.62,Yes,EV,Foggy,Poor,Yes
R180,Warehouse_C,City_Y,457.05,Medium,9.76,964.24,731.99,Yes,EV,Foggy,Poor,Yes
R181,Warehouse_A,City_W,197.05,Medium,13.53,4661.12,848.32,Yes,Bike,Snowy,Poor,No
R182,Warehouse_C,City_X,415.64,Medium,19.23,3363.93,481.35,Yes,Truck,Clear,Average,No
R183,Warehouse_B,City_W,71.18,Low,77.92,4564.55,791.5,Yes,Van,Rainy,Poor,Yes
R184,Warehouse_C,City_Z,468.02,Low,52.36,4863.03,498.17,Yes,Bike,Clear,Good,No
R185,Warehouse_A,City_Y,376.95,Medium,3.04,2510.64,404.9,Yes,Van,Clear,Good,No
R186,Warehouse_A,City_Y,470.96,Medium,68.0,1209.88,540.31,Yes,Truck,Foggy,Poor,Yes
R187,Warehouse_B,City_Z,339.93,High,43.52,1008.96,685.58,Yes,Bike,Snowy,Average,Yes
R188,Warehouse_C,City_W,184.88,High,52.06,1153.45,735.08,Yes,Truck,Rainy,Poor,No
R189,Warehouse_C,City_X,469.4,Low,22.98,3557.54,376.03,Yes,Truck,Clear,Poor,No
R190,Warehouse_B,City_Z,141.41,Low,56.07,250.21,584.18,Yes,Truck,Clear,Good,Yes
R191,Warehouse_C,City_Z,169.43,Medium,97.96,304.24,912.57,Yes,Van,Foggy,Average,Yes
R192,Warehouse_C,City_W,351.9,Low,9.2,3060.31,977.02,Yes,EV,Foggy,Average,No
R193,Warehouse_A,City_Y,383.83,Low,29.82,3228.18,250.43,Yes,Bike,Foggy,Good,Yes
R194,Warehouse_C,City_W,465.05,High,25.81,3343.05,217.05,No,Van,Snowy,Good,No
R195,Warehouse_C,City_Z,106.38,Low,26.36,1890.81,686.39,Yes,Truck,Rainy,Good,Yes
R196,Warehouse_B,City_Z,400.01,High,39.11,4039.43,432.24,No,Van,Rainy,Average,Yes
R197,Warehouse_B,City_Y,370.58,Medium,82.17,2691.44,53.5,Yes,Truck,Foggy,Good,Yes
R198,Warehouse_D,City_Y,36.58,Medium,91.46,572.05,366.46,Yes,Truck,Clear,Good,No
R199,Warehouse_A,City_Y,196.68,Low,21.82,3995.64,812.54,No,Truck,Foggy,Good,Yes
R200,Warehouse_C,City_W,144.97,Low,55.21,4767.69,803.5,Yes,Truck,Foggy,Poor,No
R201,Warehouse_C,City_Y,155.72,Medium,64.42,347.18,509.84,No,Van,Snowy,Average,Yes
R202,Warehouse_D,City_Z,491.56,Low,53.14,1987.19,488.4,Yes,Truck,Foggy,Average,Yes
R203,Warehouse_C,City_Z,323.17,Low,44.54,2463.2,592.12,No,Van,Rainy,Poor,Yes
R204,Warehouse_A,City_X,360.25,Low,20.81,775.03,242.81,Yes,Van,Foggy,Average,No
R205,Warehouse_D,City_W,488.43,Low,49.85,4345.16,540.26,No,EV,Rainy,Good,No
R206,Warehouse_A,City_X,191.71,Low,41.32,1456.54,40.71,Yes,Van,Clear,Poor,Yes
R207,Warehouse_D,City_Z,401.91,Medium,79.97,3925.89,491.29,Yes,EV,Rainy,Good,Yes
R208,Warehouse_D,City_X,220.09,Low,76.83,3371.42,355.97,No,EV,Rainy,Good,No
R209,Warehouse_B,City_Z,435.42,Low,15.13,3010.33,684.62,Yes,EV,Foggy,Good,Yes
R210,Warehouse_A,City_X,94.43,Medium,10.67,1001.11,649.2,Yes,Van,Rainy,Good,Yes
R211,Warehouse_C,City_Y,474.1,High,91.0,1142.48,399.41,No,EV,Rainy,Average,Yes
R212,Warehouse_C,City_X,113.29,Low,54.48,284.37,37.05,Yes,Bike,Clear,Poor,No
R213,Warehouse_A,City_Y,166.48,Low,86.06,1241.53,274.71,Yes,Truck,Rainy,Poor,No
R214,Warehouse_C,City_Y,379.32,Medium,7.7,1759.95,644.35,Yes,Van,Rainy,Good,Yes
R215,Warehouse_C,City_W,199.91,High,53.6,4174.07,100.2,Yes,Truck,Foggy,Poor,Yes
R216,Warehouse_A,City_Y,306.06,Medium,54.86,1863.64,134.41,Yes,Van,Snowy,Poor,No
R217,Warehouse_D,City_Y,225.06,Medium,86.35,3785.38,657.62,Yes,EV,Foggy,Good,Yes
R218,Warehouse_A,City_X,372.47,Low,11.57,2225.24,763.09,Yes,Bike,Clear,Good,Yes
R219,Warehouse_D,City_Z,118.02,Medium,25.56,3935.1,341.9,Yes,EV,Foggy,Average,Yes
R220,Warehouse_C,City_W,33.94,Low,41.84,4882.54,504.98,Yes,Van,Rainy,Average,Yes
R221,Warehouse_C,City_Y,153.47,Medium,86.85,1237.22,947.34,Yes,EV,Snowy,Good,No
R222,Warehouse_C,City_W,239.78,Medium,94.01,4318.59,947.18,Yes,Bike,Foggy,Average,Yes
R223,Warehouse_B,City_X,88.17,High,99.29,3128.03,328.28,Yes,Truck,Foggy,Average,Yes
R224,Warehouse_D,City_Y,180.62,Low,96.0,4095.61,815.69,Yes,Truck,Clear,Poor,Yes
R225,Warehouse_B,City_X,202.99,Low,2.58,3275.35,606.13,Yes,EV,Rainy,Good,No
R226,Warehouse_B,City_W,33.41,Medium,6.68,2148.55,976.22,Yes,Van,Foggy,Poor,No
R227,Warehouse_A,City_X,293.74,Medium,16.47,1178.97,493.29,No,Van,Foggy,Poor,Yes
R228,Warehouse_B,City_W,442.75,Medium,36.19,396.67,781.47,Yes,Truck,Snowy,Good,No
R229,Warehouse_A,City_X,80.11,Low,83.33,2700.82,775.09,No,Bike,Clear,Poor,Yes
R230,Warehouse_A,City_W,300.91,Low,89.48,4952.11,512.51,Yes,EV,Rainy,Average,No
R231,Warehouse_B,City_Z,334.05,Medium,20.31,3703.31,801.76,Yes,EV,Foggy,Average,Yes
R232,Warehouse_D,City_X,212.57,Low,62.73,1670.36,283.21,Yes,Truck,Snowy,Average,Yes
R233,Warehouse_D,City_X,352.04,High,91.9,4144.66,148.59,No,Van,Foggy,Average,Yes
R234,Warehouse_D,City_Z,208.31,Medium,47.45,3856.47,442.41,Yes,EV,Foggy,Average,Yes
R235,Warehouse_D,City_Z,254.8,Medium,12.15,1444.1,945.32,Yes,Van,Clear,Poor,No
R236,Warehouse_D,City_X,8.64,Medium,46.87,120.82,515.72,Yes,Van,Snowy,Good,No
R237,Warehouse_B,City_Z,347.4,Medium,38.83,634.91,646.2,Yes,Truck,Snowy,Poor,No
R238,Warehouse_B,City_Y,332.36,Low,58.61,4392.67,635.44,Yes,Van,Rainy,Poor,Yes
R239,Warehouse_C,City_W,24.01,High,44.99,4190.99,158.6,Yes,Bike,Foggy,Average,No
R240,Warehouse_D,City_W,187.28,Low,3.7,1511.28,408.59,Yes,Bike,Snowy,Average,Yes
R241,Warehouse_B,City_W,489.62,Medium,99.41,1461.72,715.73,No,Truck,Foggy,Poor,No
R242,Warehouse_C,City_Y,213.26,Low,55.27,3974.68,972.83,Yes,EV,Foggy,Poor,No
R243,Warehouse_D,City_Z,253.46,Medium,48.42,4691.8,192.98,No,Van,Rainy,Good,Yes
R244,Warehouse_A,City_Z,455.42,Low,95.55,3906.73,428.13,No,Bike,Rainy,Good,No
R245,Warehouse_C,City_X,360.04,Low,17.27,3047.61,122.24,No,Truck,Snowy,Good,Yes
R246,Warehouse_B,City_Z,293.12,High,20.55,1251.22,265.11,No,Truck,Foggy,Good,Yes
R247,Warehouse_A,City_X,399.91,Low,81.19,2652.45,395.46,No,Van,Snowy,Good,No
R248,Warehouse_A,City_Y,432.86,Medium,27.56,1205.88,554.42,Yes,Truck,Foggy,Average,Yes
R249,Warehouse_A,City_W,231.16,High,80.32,4049.66,253.65,Yes,EV,Snowy,Good,Yes
R250,Warehouse_C,City_W,240.18,Low,28.61,1965.46,250.74,Yes,Van,Snowy,Poor,Yes
R251,Warehouse_B,City_W,196.1,Medium,5.25,4176.8,784.5,Yes,EV,Foggy,Average,Yes
R252,Warehouse_A,City_Z,483.52,Low,52.67,1938.97,963.76,Yes,Bike,Clear,Poor,Yes
R253,Warehouse_D,City_X,350.1,Low,21.28,4129.54,343.9,Yes,Bike,Rainy,Average,No
R254,Warehouse_A,City_X,46.2,Medium,76.27,1699.92,697.35,Yes,Bike,Foggy,Average,Yes
R255,Warehouse_A,City_Y,432.17,High,64.84,2228.66,280.34,No,Bike,Snowy,Good,No
